STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Nitrite N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,latitude,longitude
2671,07-03-2025,Jul,13:40:00,"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",River,Kundalika,Kundalika,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing,Gardening,Others",Yes,Clear,None,0,28,6.5,7.6,689,3.4,0.76,NA,140,540,4,7.48,5(BDL),42,167.95,24,1.5(BDL),0.4,92,40,52,32.75,121.8,585,515,16,0.31,0.5(BDL),9.35,0.2(BDL),18° 32.327’,72°56.119 ’
2672,07-03-2025,Jul,18:15:00,"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",River,Kundalika,Kundalika,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing,Gardening,Others",Yes,Clear,None,0,28,7.1,7.6,84,2.4,0.38,NA,2,140,2,3.8,5(BDL),36,5.5,8,1.5(BDL),0.4,40,24,16,5(BDL),5(BDL),71,63,10(BDL),0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),18° 25.819’,73° 09.819’
2651,07-03-2025,Jul,18:55:00,"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",River,Kundalika,Kundalika,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing,Gardening,Others",Yes,Clear,None,0,28,7.1,7.7,112,2.4,0.44,NA,1.8(BDL),210,1.8(BDL),5.01,5(BDL),50,7,8,1.5(BDL),0.4,46,32,14,5(BDL),5(BDL),94,84,10(BDL),0.38,0.5(BDL),1(BDL),0.2(BDL),18° 31.150’,73° 09.434’
2695,07-01-2025,Jul,09:30:00,"Pedhi river near road bridge at Dadhi. Pedhi village, Village. Dadhi. Pedhi, Taluka. Bhatkuli, District. Amravati.",River,Pedhi ,Pedhi ,Amravati,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0.5,20,6,7.8,663,4,4.52,NA,170,350,1.8(BDL),3,5(BDL),220,64.48,16,1.5(BDL),NA,209,121.2,87.5,43.76,77.6,428,368,18,0.2(BDL),0.5(BDL),10,NA,20° 49.532’,77° 33.783’
2700,07-01-2025,Jul,00:00:00,"Purna river near Achalpur. Amravati road bridge, Asegaon, Village. Asegaon,Taluka. Chandur Bazar, District. Amravati.",River,Purna ,Purna ,Amravati,Maharashtra,Maharashtra PCB,Monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20° 54.396’,77° 36.817’
5993,07-01-2025,Jul,01:05:00,Chandrabhaga river at chandur jahanpur thesil daryapur Dist- Amravati,River,NA,NA,Amravati,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,50-100cm,"Bathing,Washing",Yes,Clear,None,0.5,20,6.3,8.4,860,3.9,2.24,NA,170,280,1.8(BDL),11,18.4,238,97.97,16,1.5(BDL),NA,190.8,80.4,110.4,52.68,148.6,576,484,26,0.2(BDL),0.5(BDL),6,NA,20.941,77.338
5994,07-01-2025,Jul,11:10:00,"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",River,NA,NA,Amravati,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,50-100cm,"Bathing,Washing",Yes,Clear,None,0.5,24,5.6,8.3,458,5.2,1.91,NA,110,220,1.8(BDL),6,9.2,155,57.48,20,1.5(BDL),NA,161.2,81.6,79.6,38.42,48.9,312,262,20,0.2(BDL),0.5(BDL),6,NA,20.944,77.502
5978,07-01-2025,Jul,17:30:00,"Penganga river at washim- risod road bridge, village asegaonpen, Tal-risod, dist- washim",River,NA,NA,Amravati,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,50-100cm,"Bathing,Washing",No,Clear,None,0.5,26,6.1,8.3,496,4.4,4.87,NA,220,350,1.8(BDL),29,16.8,197,44.99,20,1.68,0.4,222.4,112.8,109.6,43.76,39.2,357,314,32,0.2(BDL),0.5(BDL),6.4,NA,20.0338238,76.9576
1913,07-01-2025,Jul,04:30:00,"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",River,Purna ,Purna ,Akola,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Clear,Less than 50cm,Others,Yes,Clear,None,2,26,5.5,8.1,333,7,1.73,NA,79,280,1.8(BDL),150,9.2,134,49.98,28,1.5(BDL),0.4,119.6,70.4,49.2,29.76,34.7,253,213,22,0.2(BDL),0.5(BDL),3.6,NA,"20  ?09.010'N,","76  ? 33.625' E,"
2155,07-02-2025,Jul,10:00:00,"Purna river at D/s of confluence of Morna and Purna, at Andura Village, Village. Andura, Taluka. Balapur, District. Akola.",River,Morna ,Morna ,Akola,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Clear,Less than 50cm,Others,Yes,Clear,None,5,25,6,8.1,6881,5.8,4.56,NA,170,540,1.8(BDL),26,16.2,2112,72.48,20,1.5(BDL),NA,223.2,107.8,115.4,63.32,75.6,461,282,24,0.35,0.5(BDL),1(BDL),0.2(BDL),20  ?53.200N,76  ?51.364 E
2675,07-02-2025,Jul,08:45:00,Morna River D/s of Railway Bridge Akola ,River,Morna ,Morna ,Akola,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Clear,Less than 50cm,Others,Yes,Clear,None,2,25,2.8,7.6,759,13.8,1.17,NA,140,350,1.8(BDL),4.8,5(BDL),261,64.98,48,7.84,4.45,273,145.2,127.8,31,60,486,398,21,1.55,0.5(BDL),3.6,NA,20° 09.016’,77° 33.622’
2699,07-01-2025,Jul,10:00:00,Penganga River at Mehkar .Buldana Bridge.Akola,River,Penganga ,Penganga ,Akola,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Clear,Less than 50cm,Others,Yes,Clear,None,4,26,6.1,8.2,7586,4.1,7.36,NA,170,540,1.8(BDL),7.2,19.4,1764,80.97,16,2.24,0.4,323.8,76.4,247.4,41.48,38.6,485,402,16,0.2(BDL),0.5(BDL),NA,0.2(BDL),20  ?09.010' N,"76  ? 33.625' E,"
5792,07-01-2025,Jul,11:05:00,"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",Lake,NA,NA,Akola,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Clear,Less than 50cm,Others,Yes,Clear,None,0,25,3.4,9.6,77620,41,1.31,NA,79,280,1.8(BDL),4.1,587,1718,1314.59,164,2.24,0.65,152.8,45.6,107.2,62.5,34.7,4890,4205,25,0.2(BDL),0.5(BDL),10,0.2(BDL),19.9719,76.50603
1908,07-09-2025,Jul,14:35:00,"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",River,Kanhan ,Kanhan ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Bathing,Washing,Fishing",Yes,Clear,None,0,18,6.1,7.9,215,5.5,0.3(BDL),NA,140,280,1.8(BDL),60,5(BDL),89,24.99,24,2.24,0.84,88.2,58.2,30,27.33,12,155,135,34,0.22,0.5(BDL),3.2,0.2(BDL),21° 13',79° 12'
2170,07-09-2025,Jul,00:00:00,"Kanhan river at U/s of M/s Vidarbha Paper Mills, Village. Sinora, Taluka. Parseoni, District. Nagpur.",River,Kanhan ,Kanhan ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21°12.679’,79°14.127’
2171,07-09-2025,Jul,00:00:00,"Kanhan river at D/s of M/s Vidarbha Paper Mills,  Village. Sinora, Taluka. Parseoni, District. Nagpur.",River,Kanhan ,Kanhan ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21°12.575’,79°14.203’
1315,07-08-2025,Jul,12:05:00,"Wardha river at Pulgaon Railway Bridge, Village. Pulgaon,Taluka . Wardha, District. Wardha.",River,Wardha ,Wardha ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing,Fishing",Yes,Clear,None,0,22,5.6,7.7,243,5.5,0.3(BDL),NA,33,47,1.8(BDL),100,5(BDL),102,29.99,20,2.8,0.59,97,70,27,32.66,16.6,182,156,36,0.28,0.5(BDL),350,0.2(BDL),20° 30’,78° 20’
1909,07-08-2025,Jul,04:10:00,"Kanhan river at D/s of Nagpur, Village. Agargaon, Taluka. Kuhi, District. Nagpur.",River,Kanhan ,Kanhan ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Bathing,Fishing",Yes,Clear,None,0,20,5.5,7.6,224,6.1,0.3(BDL),NA,110,220,1.8(BDL),100,5(BDL),92,14.5,20,2.24,0.67,94,65,29,30.48,16.8,162,141,46,0.22,0.5(BDL),3.6,0.2(BDL),21° 15',79° 08'
1910,07-08-2025,Jul,17:50:00,"Wainganga river after confluence with Kanhan river, Village. Ambhora,Taluka. Kuhi, District. Nagpur.",River,Kanhan ,Kanhan ,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Fishing,Tourism Spot",Yes,Clear,None,0,20,5.2,7.6,273,6.9,0.57,NA,79,130,1.8(BDL),95,5(BDL),894,44.99,32,3.36,1.41,100,73,27,29.12,15.9,189,166,48,0.3,0.5(BDL),3.6,0.2(BDL),21° 16',79° 10'
2722,07-08-2025,Jul,14:05:00,"Wena river at U/s of Mohata Mills, near Railway bridge on Wardha – Chandrapur Railway line, Village. Hinganghat, Taluka. Hinganghat, District. Wardha.",River,Wena,Wena,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Bathing,Washing,Fishing",Yes,Clear,None,0,22,6,7.7,217,5,0.5,NA,79,140,1.8(BDL),95,5(BDL),92,15.5,20,2.24,0.71,106,70,36,29.12,16.8,161,138,52,0.23,0.5(BDL),3.7,0.2(BDL),20° 57.008’,79° 00.756’
2723,07-08-2025,Jul,14:15:00,"Wena river at D/s of Mohata Mills, near  bridge on Hinganghat. Wadner road,  Village. Hinganghat, Taluka. Hinganghat,  District. Wardha.",River,Wena,Wena,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,"Bathing,Washing,Fishing",Yes,Clear,None,0,22,5.7,7.7,250,5.5,0.95,NA,140,280,1.8(BDL),100,5(BDL),95,44.99,24,1.68,0.56,97,77,19,26.34,15.4,190,162,58,0.22,0.5(BDL),3.6,0.2(BDL),20° 32.655’,78° 48.714’
5979,07-09-2025,Jul,12:55:00,"Nag river near ambazari lake, Dist- Nagpur",River,NA,NA,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,Others,Yes,Clear,None,0,20,6.3,7.8,471,3.8,1.24,NA,130,280,1.8(BDL),2.9,5(BDL),177,46.49,16,2.8,0.4,204.2,60.6,143.6,31.36,34.8,316,265,16,0.29,0.5(BDL),3.7,0.2(BDL),NA,NA
5980,07-09-2025,Jul,16:15:00,Nag river  near bhandewadi bridge Dist- Nagpur,River,NA,NA,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,B (Outdoor bathing(Organized)),None,Clear,Less than 50cm,Others,Yes,Clear,None,0,22,3,7.5,329,15,3.17,NA,350,1600,1.8(BDL),19,5(BDL),114,22.99,48,2.8,0.4,145.2,97.2,48,37.38,22.4,230,198,144,0.43,0.5(BDL),7.1,0.2(BDL),NA,NA
5981,07-09-2025,Jul,15:45:00,"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",River,NA,NA,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,Others,Yes,Clear,None,0,22,2.9,7.5,323,16.5,3.28,NA,280,1600,1.8(BDL),24,5(BDL),113,19.99,52,3.36,0.4,144.2,106.8,37.4,37.38,21.6,226,192,238,0.33,0.91,6.8,0.2(BDL),NA,NA
5982,07-09-2025,Jul,14:15:00,"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",River,NA,NA,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,Others,Yes,Clear,None,0,22,3.6,7.6,303,12.9,2.36,NA,280,1600,1.8(BDL),8.8,5(BDL),123,16.99,40,3.36,0.84,140.6,98,42.6,32,17.2,210,176,276,0.74,0.5(BDL),5.1,0.2(BDL),NA,NA
5983,07-09-2025,Jul,13:45:00,"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",River,NA,NA,Nagpur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,"E (Irrigation, industrial cooling and controlled waste)",None,Clear,Less than 50cm,Others,Yes,Clear,None,0,22,3.8,7.5,310,10.5,0.36,NA,220,350,1.8(BDL),11,5(BDL),122,15,36,3.92,1.42,143,102.8,40.2,37.02,14.8,209,180,158,0.43,0.5(BDL),5,0.2(BDL),NA,NA
2172,07-02-2025,Jul,04:00:00,"Wainganga river at D/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",River,Wainganga ,Wainganga ,Bhandara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Fishing,Others",Yes,Clear,Odourless,4,17,5.6,8,200,5.4,0.3(BDL),NA,140,540,1.8(BDL),300,5(BDL),83,24.99,32,3.36,1.39,88.6,53,35.6,23.85,8.3,152,133,30,0.22,0.5(BDL),2.9,0.2(BDL),21°21.307’,79°47.943’
2173,07-02-2025,Jul,04:25:00,"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",River,Wainganga ,Wainganga ,Bhandara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Fishing,Others",Yes,Clear,Odourless,4,17,6.3,8,220,4.9,0.3(BDL),NA,110,350,1.8(BDL),290,5(BDL),88,39.99,28,2.8,0.86,85.8,64.8,21,23.85,8.7,163,137,34,0.25,0.5(BDL),3.1,0.2(BDL),21°21.454’,79°47.942’
5984,07-03-2025,Jul,12:20:00,"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",River,NA,NA,Bhandara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Fishing,Others",Yes,Clear,Odourless,4,17,6,7.9,210,5,0.3(BDL),NA,110,220,1.8(BDL),230,5(BDL),86,34.99,20,2.8,1.02,90.2,63,27.2,23.85,8.6,158,138,32,0.2(BDL),0.5(BDL),3.1,0.2(BDL),21.150911,79.66716
5985,07-03-2025,Jul,11:15:00,"Gosekhurd Dam village - Gosekhurd, pauni, Dist- Bhandara",Dam,NA,NA,Bhandara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Fishing,Others",Yes,Clear,Odourless,4,17,6.3,8.2,377,4,0.49,NA,79,170,1.8(BDL),2,5(BDL),169,34.49,16,1.68,0.4,157.6,85.4,72.2,21.88,30.1,256,220,12,0.2(BDL),0.5(BDL),3.4,0.2(BDL),20.875423,79.611417
11,07-04-2025,Jul,17:00:00,"Wainganga river at Ashti, Village. Ashti, Taluka. Gondpipri, District.Chandrapur.",River,Wainganga ,Wainganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.2,8,307,6,0.46,NA,79,170,1.8(BDL),21,5(BDL),104,17.49,24,1.5(BDL),0.4,118,63,55,53.72,24.7,208,177,34,0.2(BDL),0.5(BDL),3.1,0.2(BDL),19°10.643’,79°47.140 ’
2156,07-03-2025,Jul,09:00:00,"Wardha river at confluence point of Penganga & Wardha. Village. Jugad, Taluka. Wani, District. Yavatmal.",River,Penganga ,Penganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,20,5.8,7.9,304,4.6,0.65,NA,79,130,1.8(BDL),19,5(BDL),111,19.49,16,1.68,0.4,120.6,79.2,41.4,74.78,23.1,234,201,20,0.2(BDL),0.5(BDL),3.1,0.2(BDL),19°53.943’,79°08.911’
2174,07-03-2025,Jul,09:45:00,"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",River,Wardha ,Wardha ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,20,5.6,8,299,5,0.75,NA,110,280,1.8(BDL),22,5(BDL),110,17.49,20,2.24,0.4,118,68,50,74.78,22.9,231,199,38,0.3,0.5(BDL),3.1,0.2(BDL),19°54.291’,79°06.894’
2175,07-04-2025,Jul,12:00:00,"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",River,Wainganga ,Wainganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.8,7.9,314,4.4,0.48,NA,33,70,1.8(BDL),18,5(BDL),106,19.49,16,2.8,0.4,129.6,73,56.6,51.88,24.4,214,182,40,0.2(BDL),0.5(BDL),3.2,0.2(BDL),20°37.169’,79°51.408’
2176,07-04-2025,Jul,12:30:00,"Wainganga river at D/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",River,Wainganga ,Wainganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.6,8,302,5.1,0.5,NA,110,220,1.8(BDL),24,5(BDL),107,19.49,24,1.5(BDL),0.4,127.6,70.6,57,42.68,24.2,203,174,56,0.2(BDL),0.5(BDL),3,0.2(BDL),20°37.169’,79°56.408’
2697,07-06-2025,Jul,11:30:00,"Penganga river near water supply scheme of Umarkhed M.C., Village. Belkhed,Taluka. Umarkhed, District. Yavatmal.",River,Penganga ,Penganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,20,7.2,8.3,530,3.9,0.51,NA,13,33,1.8(BDL),1(BDL),13.8,211,30.99,16,1.68,0.4,226.6,68,158.6,118,39.3,398,338,18,0.2(BDL),0.5(BDL),4,0.2(BDL),20° 23.559’,78° 07.934’
2698,07-06-2025,Jul,13:15:00,"Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal.",River,Penganga ,Penganga ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,6.4,8.5,329,5,0.3(BDL),NA,33,49,1.8(BDL),2.2,9.2,146,22.99,20,1.68,0.4,150,68,82,18.24,22.2,221,190,14,0.2(BDL),0.5(BDL),3.2,0.2(BDL),20° 23.559’,78° 07.934’
2719,07-03-2025,Jul,12:00:00,"Wardha river at D/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",River,Erai ,Erai ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.4,8,303,5.1,0.84,NA,49,110,1.8(BDL),21,5(BDL),106,17.99,20,2.8,0.4,118.2,70.6,47.6,76.98,36.9,250,218,48,0.22,0.5(BDL),3.2,0.2(BDL),19° 59.433’,79° 15.754’
2720,07-03-2025,Jul,12:45:00,"Wardha river at U/s of Erai river at Hadasti near Arun Engg. Works, Village. Hadasti, Taluka. Chandrapur, District. Chandrapur.",River,Erai ,Erai ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.8,7.9,311,4.4,0.55,NA,33,49,1.8(BDL),23,5(BDL),103,18.49,16,2.24,0.4,119.8,61.8,58,79.22,24.9,234,201,38,0.2(BDL),0.5(BDL),3.1,0.2(BDL),19° 59.263’,79° 06.907’
2721,07-03-2025,Jul,10:15:00,"Wardha river at U/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",River,Wardha ,Wardha ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,21,5.9,8.1,304,4.4,0.41,NA,70,140,1.8(BDL),23,5(BDL),111,19.99,16,2.24,0.4,120.6,70.6,50,43.8,23.5,204,179,26,0.2(BDL),0.5(BDL),3.1,0.2(BDL),19° 54.336’,79° 06.894’
1212,07-04-2025,Jul,15:00:00,"Wardha river at Rajura bridge, Village. Rajura, Taluka. Chandrapur, District. Chandrapur.",River,Wardha ,Wardha ,Chandrapur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,22,5.5,8,309,5.2,0.46,NA,49,110,1.8(BDL),22,5(BDL),104,19.99,20,1.5(BDL),0.4,117.8,65.6,52.2,50.72,24.7,207,172,42,0.2(BDL),0.5(BDL),3.2,0.2(BDL),19° 48’,79° 23’
1095,07-01-2025,Jul,11:55:00,"Godavari river at U/s of Gangapur Dam, Village. Gangapur,Taluka. Nashik, District. Nashik.", Dam,Godavari ,Godavari ,Nashik,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Bathing,Yes,Clear,None,0,NA,5.2,7.8,233,3.2,2.93,NA,24,280,1.8(BDL),38.1,5(BDL),22,11.5,12,1.5(BDL),0.4,28,16,12,26.02,5.38,175,142,92,0.57,0.5(BDL),1(BDL),0.2(BDL),20°02.400 ’,73°40.751’
1096,07-01-2025,Jul,13:35:00,"Godavari river at Ramkund, Village. Panchavati, Taluka. Nashik, District. Nashik.",River,Godavri ,Godavri ,Nashik,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,0,NA,5.2,8,379,4.8,3.5,NA,20,280,1.8(BDL),5.6,5(BDL),62,16,16,1.5(BDL),0.4,76,44,32,31.38,10.67,289,213,68,1.01,0.5(BDL),1(BDL),0.2(BDL),20°00.482’,73°47.542’
1211,07-01-2025,Jul,13:50:00,"Godavari river at D/s of Nashik near Amardham, Village. GadgebabaMaharaj Nagar, Taluka . Nashik, District. Nashik.",River,Godavri ,Godavri ,Nashik,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Washing",Yes,Clear,None,NA,NA,5.3,8.1,410,4.4,3.57,NA,20,280,1.8(BDL),4.8,5(BDL),70,17.99,16,1.5(BDL),0.4,86,50,36,36.98,12.14,310,239,52,1.08,0.5(BDL),1(BDL),0.2(BDL),20°00.109’,73°47.842’
2177,07-01-2025,Jul,12:45:00,"Godavari river near Someshwar Temple, Village. Someshwar, Taluka. Nashik, District. Nashik.",River,Godavri ,Godavri ,Nashik,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Boating,Tourism Spot",Yes,Clear,None,NA,NA,5.2,8.2,460,4.6,2.71,NA,27,920,1.8(BDL),6.6,5(BDL),46,13,16,1.5(BDL),0.4,56,32,24,23.26,8.15,355,260,61,0.69,0.5(BDL),1(BDL),0.2(BDL),20°01.391’,73°43.740’
2178,07-02-2025,Jul,12:55:00,"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",Nala,Chikhali Nalla,Chikhali Nalla,Nashik,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,NA,0.3(BDL),7.7,1135,18,4.96,NA,31,920,1.8(BDL),7.2,5(BDL),224,131.96,48,1.5(BDL),0.4,320,190,130,127.76,61.31,965,779,51,1.49,0.5(BDL),1(BDL),0.2(BDL),20°01.022’,73°44.116’
