STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Use of Water in Down Stream, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,Remark,latitude,longitude
1312,08-05-2025,Aug,16:30:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,1,28,6.7,8.4,575,3.2,0.54,1.8(BDL),35,1.8(BDL),1(BDL),6,122,58.48,16,1.68,0.43,144,64,80,72,60.44,497,448,10(BDL),0.78,0.58,2.88,0.5,NA,19°29.263',75°22.272'
2158,08-05-2025,Aug,16:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.6,8.3,576,3.2,0.52,1.8(BDL),25,1.8(BDL),1.02,6,120,63.48,16,2.8,0.86,142,66,76,68.88,61.1,489,441,11,0.71,0.61,3.14,0.41,NA,19°30.887’,75°22.457’
2159,08-05-2025,Aug,17:15:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.9,8.5,573,3.2,0.56,1.8(BDL),20,1.8(BDL),1.02,6,140,58.98,16,3.36,1.8,140,62,78,68.54,67.84,491,442,11,0.76,0.56,3.16,0.45,NA,19°28.835’,75°23.835’
2160,08-05-2025,Aug,15:00:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,7,7.9,592,3.4,0.58,1.8(BDL),13,1.8(BDL),1.02,6,140,55.98,20,2.24,0.4,140,72,68,73.3,55.38,479,612,10(BDL),1.47,0.55,3.13,0.6,NA,19°37.463’,75°01.490’
2161,08-04-2025,Aug,15:30:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,2,29,6.6,8.7,922,3.8,0.63,1.8(BDL),14,1.8(BDL),1.03,6,130,98.47,20,1.68,0.44,160,82,78,128.8,114.98,765,689,12,0.33,0.56,4.57,0.49,NA,19°21.392’,75°42.870’
2657,08-04-2025,Aug,13:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0.5,30,7.1,8.6,356,3,0.7,1.8(BDL),17,1.8(BDL),1.01,6,140,13,16,5.6,2.28,120,60,60,21.1,20.8,316,285,10(BDL),1.12,0.55,1.54,0.95,NA,18° 54.922’,75° 44.236’
2157,08-03-2025,Aug,08:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),#N/A,None,Cloudy,50-100cm,Fishing,Yes,Light Brown,Odor Free,1,20,7,8.3,506,3.2,1.8,1.8(BDL),21,1.8(BDL),1.2,6,150,52.48,16,3.36,1.35,140,64,76,46.5,46.91,418,377,12,0.2(BDL),0.56,4.48,0.99,NA,18°33.243’,76°08.899’
2673,08-03-2025,Aug,09:00:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Muncipal Sewage,Cloudy,50-100cm,"Washing,Fishing",Yes,Light Brown,Fishy,8,22,6.8,8.5,526,3.6,1.95,1.8(BDL),25,1.8(BDL),1.22,6,148,50.48,20,5.04,2.54,120,60,60,56.86,48.67,441,397,10(BDL),1,0.58,4.17,0.72,NA,18° 25.826’,76° 40.253’
1209,08-05-2025,Aug,11:30:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,31,6,8.1,721,3.8,3.2,1.8(BDL),21,1.8(BDL),1.03,6,100,54.98,16,4.48,0.41,148,64,84,63.3,46.8,353,318,10(BDL),0.77,0.53,3.24,0.89,NA,18°53.781’,77°40.660’
1210,08-05-2025,Aug,08:30:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),#N/A,Industrial,Clear,Less than 50cm,"Fishing,Boating,Tourism Spot",Yes,Clear,None,0,31,6.4,8.3,409,3.8,2.1,1.8(BDL),15,1.8(BDL),1.27,6,142,32.49,20,2.24,1.49,130,60,70,60.7,44.39,355,320,12,0.49,0.53,3.05,0.46,NA,19°07.611’,77°16.763’
